Wavelength,B1Blue,B2Green,B3Red,B4NIR
610,0.00009925,0.00080813,0.01250677,0.00002328
611,0.00009923,0.00069267,0.01576553,0.00002129
612,0.00009906,0.00060187,0.01971871,0.00002036
613,0.00009850,0.00053101,0.02460136,0.00001896
614,0.00009892,0.00046977,0.03076162,0.00001779
615,0.00009742,0.00041864,0.03870973,0.00001738
616,0.00009802,0.00037515,0.04932564,0.00001579
617,0.00009809,0.00033197,0.06405112,0.00001598
618,0.00009662,0.00029595,0.08527458,0.00001498
619,0.00009692,0.00026098,0.11683854,0.00001430
620,0.00009575,0.00022974,0.16336997,0.00001381
621,0.00009546,0.00020299,0.22811553,0.00001310
622,0.00009575,0.00017878,0.30778033,0.00001315
623,0.00009469,0.00015870,0.39105868,0.00001249
624,0.00009485,0.00014470,0.46939880,0.00001236
625,0.00009453,0.00012912,0.54633346,0.00001250
626,0.00009384,0.00012281,0.62987089,0.00001178
627,0.00009463,0.00011148,0.71765372,0.00001194
628,0.00009451,0.00010580,0.80227884,0.00001165
629,0.00009458,0.00010508,0.87400338,0.00001136
630,0.00009520,0.00009942,0.92669327,0.00001177
631,0.00009478,0.00009982,0.95728386,0.00001162
632,0.00009588,0.00009664,0.97246242,0.00001149
633,0.00009579,0.00009667,0.98093913,0.00001162
634,0.00009545,0.00009589,0.98815314,0.00001162
635,0.00009560,0.00009628,0.99512479,0.00001183
636,0.00009549,0.00009600,1.00000000,0.00001163
637,0.00009549,0.00009459,1.00071278,0.00001211
638,0.00009551,0.00009484,0.99509151,0.00001182
639,0.00009535,0.00009162,0.98322813,0.00001142
640,0.00009579,0.00009246,0.96618038,0.00001146
641,0.00009570,0.00008883,0.94726377,0.00001129
642,0.00009544,0.00008616,0.92911907,0.00001064
643,0.00009552,0.00008688,0.91427200,0.00001038
644,0.00009622,0.00008318,0.90407257,0.00001123
645,0.00009645,0.00008295,0.89868685,0.00001061
646,0.00009648,0.00008153,0.89729260,0.00001039
647,0.00009799,0.00008262,0.90048309,0.00001007
648,0.00009797,0.00008265,0.90619876,0.00001068
649,0.00009864,0.00008855,0.91486402,0.00001053
650,0.00009916,0.00009224,0.92548194,0.00001131
651,0.00010183,0.00008974,0.93716217,0.00001150
652,0.00010153,0.00010120,0.95109280,0.00001210
653,0.00010358,0.00010537,0.96341044,0.00001199
654,0.00010461,0.00010299,0.97756310,0.00001228
655,0.00010712,0.00011271,0.98873468,0.00001244
656,0.00010718,0.00011213,1.00002059,0.00001267
657,0.00011085,0.00011810,1.00784176,0.00001226
658,0.00011321,0.00011639,1.01361246,0.00001236
659,0.00011173,0.00011824,1.01518655,0.00001242
660,0.00011398,0.00011152,1.01365106,0.00001236
661,0.00011982,0.00011302,1.00889905,0.00001227
662,0.00011831,0.00010361,1.00094470,0.00001222
663,0.00012135,0.00010441,0.99098939,0.00001218
664,0.00012902,0.00009482,0.97907661,0.00001214
665,0.00012720,0.00009519,0.96736515,0.00001206
666,0.00013658,0.00008675,0.95491923,0.00001202
667,0.00013538,0.00008735,0.94403019,0.00001242
668,0.00014397,0.00008078,0.93408742,0.00001231
