Wavelength,Panchromatic,NIR1,Red,Green,Blue,Red Edge,Yellow,Coastal,NIR2
424,1.049E-05,3.043E-06,2.653E-06,2.262E-08,3.720E-05,4.345E-08,3.057E-10,8.171E-01,3.378E-09
425,1.208E-05,2.361E-06,2.287E-06,4.713E-08,4.647E-05,8.627E-08,8.455E-09,8.285E-01,6.095E-11
426,1.294E-05,1.357E-06,1.243E-06,7.330E-08,6.427E-05,5.838E-08,6.420E-08,8.408E-01,2.027E-09
427,1.455E-05,7.564E-07,8.547E-07,3.390E-08,9.156E-05,4.591E-08,2.163E-07,8.533E-01,4.228E-10
428,1.876E-05,5.799E-07,8.249E-07,3.275E-08,1.239E-04,1.940E-08,2.723E-07,8.643E-01,4.578E-08
429,2.784E-05,4.762E-07,7.387E-07,6.257E-08,1.557E-04,1.795E-08,3.196E-07,8.748E-01,5.184E-08
430,4.435E-05,6.563E-07,4.069E-07,4.374E-08,1.869E-04,9.756E-09,1.994E-07,8.819E-01,3.650E-08
431,6.799E-05,1.206E-06,4.131E-07,1.496E-08,2.243E-04,2.071E-08,5.794E-08,8.884E-01,5.442E-08
432,9.485E-05,1.656E-06,3.255E-07,4.005E-08,2.872E-04,1.013E-08,5.385E-09,8.865E-01,3.988E-07
433,1.189E-04,1.230E-06,4.521E-07,4.849E-08,3.911E-04,2.189E-08,4.005E-08,8.830E-01,6.511E-07
434,1.404E-04,6.707E-07,4.328E-07,4.440E-08,5.446E-04,1.189E-08,6.473E-09,8.883E-01,3.684E-07
435,1.700E-04,4.496E-07,3.806E-07,5.054E-08,7.573E-04,1.693E-08,4.849E-11,8.950E-01,7.886E-07
436,2.323E-04,4.514E-07,4.148E-07,6.617E-08,1.057E-03,2.464E-08,4.892E-11,9.073E-01,1.016E-06
437,3.700E-04,5.490E-07,8.713E-07,9.915E-08,1.534E-03,6.035E-08,4.936E-11,9.206E-01,7.336E-07
438,6.451E-04,5.208E-07,6.432E-07,1.894E-08,2.333E-03,5.944E-08,5.004E-11,9.350E-01,2.619E-07
439,1.112E-03,5.891E-07,3.633E-07,6.314E-08,3.519E-03,4.007E-08,2.113E-07,9.497E-01,2.349E-08
440,1.743E-03,7.303E-07,4.483E-07,1.176E-07,5.096E-03,1.684E-08,9.282E-07,9.621E-01,3.297E-08
441,2.459E-03,6.139E-07,1.062E-06,9.294E-08,7.270E-03,3.302E-08,1.317E-06,9.738E-01,2.948E-07
442,3.264E-03,6.365E-07,7.008E-07,9.717E-08,1.060E-02,1.730E-08,7.515E-07,9.823E-01,3.933E-08
443,4.435E-03,1.163E-06,3.493E-07,9.048E-08,1.780E-02,2.531E-08,1.583E-07,9.905E-01,1.001E-07
444,1.831E-02,1.676E-06,4.160E-07,2.094E-07,3.397E-02,6.698E-08,1.049E-08,9.953E-01,7.661E-07
445,4.257E-02,1.857E-06,7.538E-07,2.074E-07,5.124E-02,2.064E-07,1.219E-08,1.000E+00,3.320E-07
446,6.437E-02,1.321E-06,4.393E-07,2.579E-07,7.669E-02,3.135E-07,1.214E-09,9.749E-01,1.333E-07
447,8.634E-02,6.413E-07,3.325E-07,2.123E-07,1.036E-01,1.759E-07,5.002E-11,9.453E-01,1.281E-08
448,1.085E-01,3.711E-07,5.784E-07,1.888E-07,1.692E-01,6.178E-08,5.455E-11,8.113E-01,5.577E-08
449,1.368E-01,3.214E-07,9.651E-07,2.831E-07,2.399E-01,5.701E-08,6.946E-08,6.636E-01,2.950E-07
450,1.978E-01,4.462E-07,6.132E-07,3.524E-07,3.639E-01,4.272E-08,3.740E-07,4.743E-01,4.225E-07
451,2.593E-01,5.741E-07,4.680E-07,3.650E-07,4.951E-01,4.868E-08,7.595E-07,2.787E-01,1.223E-06
452,3.213E-01,5.593E-07,3.765E-07,2.894E-07,5.781E-01,3.917E-08,4.288E-07,1.712E-01,8.174E-07
453,3.835E-01,5.468E-07,4.390E-07,2.136E-07,6.557E-01,1.033E-07,6.699E-08,7.256E-02,1.321E-06
454,4.376E-01,5.222E-07,7.449E-07,3.650E-07,7.024E-01,3.976E-07,3.136E-09,4.246E-02,1.775E-06
455,4.516E-01,4.956E-07,5.318E-07,5.823E-07,7.466E-01,1.002E-06,5.626E-11,1.975E-02,1.433E-06
456,4.658E-01,4.658E-07,4.813E-07,6.853E-07,7.654E-01,1.643E-06,2.427E-08,1.006E-02,6.086E-07
457,4.798E-01,4.913E-07,8.491E-07,5.224E-07,7.812E-01,1.501E-06,4.629E-09,4.716E-03,1.618E-06
458,4.938E-01,5.134E-07,7.796E-07,3.686E-07,7.898E-01,8.641E-07,3.229E-08,2.800E-03,1.336E-06
459,5.067E-01,5.231E-07,4.018E-07,3.152E-07,7.980E-01,4.119E-07,1.355E-08,1.648E-03,6.444E-07
460,5.137E-01,5.665E-07,2.273E-07,3.798E-07,8.029E-01,5.620E-07,7.961E-09,1.079E-03,9.284E-08
461,5.205E-01,5.686E-07,5.869E-07,4.125E-07,8.071E-01,1.554E-06,6.411E-10,6.577E-04,1.094E-06
462,5.275E-01,5.114E-07,1.191E-06,3.683E-07,8.133E-01,2.809E-06,5.834E-11,4.164E-04,2.384E-06
463,5.350E-01,4.850E-07,7.463E-07,2.704E-07,8.205E-01,2.980E-06,5.874E-11,2.679E-04,1.586E-06
464,5.409E-01,5.394E-07,9.053E-07,2.205E-07,8.235E-01,2.183E-06,5.918E-11,1.805E-04,2.785E-06
465,5.401E-01,7.392E-07,8.473E-07,2.168E-07,8.251E-01,1.235E-06,5.956E-11,9.589E-05,2.968E-06
466,5.392E-01,2.780E-06,7.682E-07,2.601E-07,8.224E-01,5.708E-07,5.984E-11,8.117E-05,2.735E-06
467,5.386E-01,9.762E-06,1.060E-06,4.211E-07,8.200E-01,2.627E-07,6.016E-11,6.016E-05,1.691E-06
468,5.383E-01,1.538E-05,5.364E-07,5.698E-07,8.274E-01,2.179E-07,6.035E-11,3.858E-05,1.766E-06
469,5.387E-01,1.352E-05,6.116E-07,5.490E-07,8.355E-01,3.727E-07,3.450E-08,2.490E-05,2.614E-06
470,5.417E-01,6.318E-06,5.796E-07,4.566E-07,8.399E-01,5.971E-07,1.880E-09,1.604E-05,2.885E-06
471,5.444E-01,1.912E-06,4.726E-07,3.712E-07,8.437E-01,5.202E-07,5.563E-11,1.115E-05,1.130E-06
472,5.472E-01,7.665E-07,4.320E-07,3.324E-07,8.497E-01,2.367E-07,5.568E-11,9.242E-06,1.439E-06
473,5.504E-01,5.798E-07,8.732E-07,4.485E-07,8.564E-01,7.958E-08,5.577E-11,7.105E-06,8.075E-07
474,5.527E-01,6.846E-07,1.308E-06,5.683E-07,8.668E-01,2.291E-08,6.083E-11,5.860E-06,5.892E-07
475,5.516E-01,6.511E-07,1.063E-06,6.864E-07,8.767E-01,8.654E-09,6.106E-11,4.200E-06,2.622E-08
476,5.504E-01,6.582E-07,1.447E-06,5.360E-07,8.766E-01,3.986E-10,6.139E-11,3.903E-06,8.465E-08
477,5.496E-01,7.196E-07,1.795E-06,4.103E-07,8.765E-01,1.545E-08,6.176E-11,3.250E-06,3.706E-09
478,5.488E-01,7.338E-07,1.483E-06,3.560E-07,8.824E-01,6.698E-10,1.627E-09,2.452E-06,1.473E-08
479,5.486E-01,8.470E-07,1.456E-06,2.960E-07,8.879E-01,1.432E-09,5.368E-09,2.161E-06,2.013E-07
480,5.513E-01,1.245E-06,6.065E-07,3.108E-07,8.946E-01,1.618E-09,2.475E-10,1.500E-06,9.268E-07
481,5.544E-01,2.278E-06,5.920E-07,3.903E-07,9.019E-01,4.564E-09,6.265E-11,1.220E-06,1.645E-06
482,5.577E-01,7.729E-06,7.055E-07,5.191E-07,8.992E-01,1.410E-09,4.831E-08,8.243E-07,9.140E-07
483,5.610E-01,2.202E-05,1.139E-06,6.324E-07,8.960E-01,1.202E-08,2.665E-09,7.344E-07,1.822E-06
484,5.630E-01,3.425E-05,3.762E-07,6.792E-07,8.973E-01,6.751E-09,9.539E-11,4.907E-07,7.605E-07
485,5.615E-01,2.316E-05,2.962E-07,5.956E-07,8.985E-01,3.679E-08,1.568E-08,4.823E-07,1.018E-07
486,5.602E-01,7.554E-06,7.684E-07,5.638E-07,9.050E-01,1.690E-08,3.916E-10,5.064E-07,4.417E-08
487,5.592E-01,1.719E-06,1.796E-06,5.372E-07,9.122E-01,1.101E-08,6.445E-11,4.092E-07,3.613E-07
488,5.583E-01,1.049E-06,2.083E-06,5.584E-07,9.252E-01,6.094E-09,3.125E-08,4.141E-07,1.783E-07
489,5.584E-01,8.387E-07,1.562E-06,6.140E-07,9.381E-01,4.942E-09,3.574E-08,3.932E-07,1.975E-07
490,5.620E-01,8.003E-07,5.923E-07,8.364E-07,9.500E-01,1.058E-08,4.679E-10,2.650E-07,7.788E-08
491,5.658E-01,7.873E-07,5.030E-07,1.177E-06,9.623E-01,2.305E-09,6.598E-11,1.821E-07,1.912E-07
492,5.693E-01,7.793E-07,5.568E-07,1.800E-06,9.633E-01,7.161E-11,1.169E-08,2.678E-07,2.484E-07
493,5.721E-01,8.125E-07,7.437E-07,3.050E-06,9.630E-01,5.689E-11,5.343E-08,3.108E-07,4.361E-07
494,5.739E-01,8.821E-07,4.077E-07,5.002E-06,9.631E-01,7.226E-09,1.858E-10,1.603E-07,4.844E-07
495,5.735E-01,1.506E-06,2.677E-07,8.555E-06,9.649E-01,5.691E-11,6.564E-11,8.411E-08,7.110E-07
496,5.730E-01,3.626E-06,4.717E-07,1.374E-05,9.735E-01,2.528E-08,6.581E-11,1.329E-07,9.013E-07
497,5.715E-01,4.395E-06,8.014E-07,2.118E-05,9.803E-01,2.216E-08,2.244E-10,2.070E-07,1.696E-07
498,5.697E-01,2.347E-06,3.142E-07,3.275E-05,9.857E-01,6.672E-09,3.540E-08,4.185E-07,5.635E-08
499,5.709E-01,8.399E-07,4.526E-07,5.209E-05,9.921E-01,1.001E-08,1.722E-10,1.801E-07,5.852E-08
500,5.779E-01,7.647E-07,9.596E-07,9.067E-05,9.963E-01,1.141E-10,1.184E-08,1.057E-07,1.527E-07
501,5.847E-01,7.124E-07,5.298E-07,1.759E-04,1.000E+00,5.098E-09,6.944E-09,1.392E-07,4.232E-07
502,5.913E-01,6.720E-07,6.270E-07,3.801E-04,9.997E-01,5.049E-09,5.573E-08,1.094E-07,4.582E-07
503,5.980E-01,7.209E-07,9.602E-07,9.327E-04,9.992E-01,4.159E-08,2.088E-08,3.907E-07,1.114E-06
504,6.028E-01,7.162E-07,1.253E-06,2.439E-03,9.761E-01,5.899E-08,3.626E-08,8.892E-08,4.862E-07
505,6.035E-01,7.145E-07,5.452E-07,6.496E-03,9.524E-01,1.750E-08,1.736E-07,1.352E-07,9.552E-08
506,6.040E-01,7.289E-07,4.008E-07,2.526E-02,9.021E-01,9.353E-09,7.253E-08,2.693E-07,5.512E-08
507,6.045E-01,7.956E-07,4.852E-07,4.684E-02,8.503E-01,1.283E-08,1.959E-07,3.559E-07,6.690E-08
508,6.048E-01,7.781E-07,1.234E-06,1.230E-01,7.591E-01,7.043E-09,2.998E-07,1.714E-07,6.352E-09
509,6.062E-01,7.675E-07,8.188E-07,2.032E-01,6.664E-01,3.520E-10,2.959E-07,1.445E-07,2.125E-07
510,6.099E-01,7.372E-07,4.176E-07,4.016E-01,5.339E-01,1.033E-08,4.816E-07,1.854E-07,1.423E-07
