Wavelength,L7B1Blue,L7B2Green,L7B3Red,L7B4NIR,L7B5NIR,L7B8Pan
751,0,0,0,0,0.0144,0
752,0,0,0,0,0.0182,0
753,0,0,0,0,0.0216,0
754,0,0,0,0,0.0269,0
755,0,0,0,0,0.0315,0
756,0,0,0,0,0.0377,0
757,0,0,0,0,0.0474,0
758,0,0,0,0,0.0562,0
759,0,0,0,0,0.0688,0
760,0,0,0,0,0.069,0
761,0,0,0,0,0.083,0
762,0,0,0,0,0.099,0
763,0,0,0,0,0.121,0
764,0,0,0,0,0.146,0
765,0,0,0,0,0.175,0
766,0,0,0,0,0.209,0
767,0,0,0,0,0.248,0
768,0,0,0,0,0.294,0
769,0,0,0,0,0.346,0
770,0,0,0,0,0.402,0
771,0,0,0,0,0.463,0
772,0,0,0,0,0.523,0
773,0,0,0,0,0.588,0
774,0,0,0,0,0.649,0
775,0,0,0,0,0.705,0
776,0,0,0,0,0.757,0
777,0,0,0,0,0.797,0
778,0,0,0,0,0.827,0
779,0,0,0,0,0.853,0
780,0,0,0,0,0.871,0
781,0,0,0,0,0.884,0
782,0,0,0,0,0.892,0
783,0,0,0,0,0.899,0
784,0,0,0,0,0.903,0
785,0,0,0,0,0.908,0
786,0,0,0,0,0.911,0
787,0,0,0,0,0.916,0
788,0,0,0,0,0.92,0
789,0,0,0,0,0.925,0
790,0,0,0,0,0.926,0
791,0,0,0,0,0.927,0
792,0,0,0,0,0.927,0
793,0,0,0,0,0.929,0
794,0,0,0,0,0.932,0
795,0,0,0,0,0.93,0
796,0,0,0,0,0.926,0
797,0,0,0,0,0.926,0
798,0,0,0,0,0.925,0
799,0,0,0,0,0.928,0
800,0,0,0,0,0.925,0
801,0,0,0,0,0.926,0
802,0,0,0,0,0.928,0
803,0,0,0,0,0.928,0
804,0,0,0,0,0.928,0
805,0,0,0,0,0.923,0
806,0,0,0,0,0.92,0
807,0,0,0,0,0.919,0
808,0,0,0,0,0.914,0
809,0,0,0,0,0.91,0
810,0,0,0,0,0.908,0
811,0,0,0,0,0.905,0
812,0,0,0,0,0.903,0
813,0,0,0,0,0.904,0
814,0,0,0,0,0.902,0
815,0,0,0,0,0.909,0
816,0,0,0,0,0.917,0
817,0,0,0,0,0.92,0
818,0,0,0,0,0.928,0
819,0,0,0,0,0.938,0
820,0,0,0,0,0.946,0
821,0,0,0,0,0.953,0
822,0,0,0,0,0.962,0
823,0,0,0,0,0.969,0
824,0,0,0,0,0.971,0
825,0,0,0,0,0.971,0
826,0,0,0,0,0.97,0
827,0,0,0,0,0.969,0
828,0,0,0,0,0.969,0
829,0,0,0,0,0.97,0
830,0,0,0,0,0.967,0
831,0,0,0,0,0.969,0
832,0,0,0,0,0.968,0
833,0,0,0,0,0.963,0
834,0,0,0,0,0.965,0
835,0,0,0,0,0.967,0
836,0,0,0,0,0.965,0
837,0,0,0,0,0.963,0
838,0,0,0,0,0.958,0
839,0,0,0,0,0.95,0
840,0,0,0,0,0.949,0
841,0,0,0,0,0.943,0
842,0,0,0,0,0.933,0
843,0,0,0,0,0.929,0
844,0,0,0,0,0.928,0
845,0,0,0,0,0.925,0
846,0,0,0,0,0.924,0
847,0,0,0,0,0.927,0
848,0,0,0,0,0.932,0
849,0,0,0,0,0.934,0
850,0,0,0,0,0.943,0
851,0,0,0,0,0.952,0
852,0,0,0,0,0.956,0
853,0,0,0,0,0.966,0
854,0,0,0,0,0.977,0
855,0,0,0,0,0.985,0
856,0,0,0,0,0.99,0
857,0,0,0,0,0.992,0
858,0,0,0,0,0.993,0
859,0,0,0,0,0.994,0
860,0,0,0,0,0.998,0
861,0,0,0,0,0.996,0
862,0,0,0,0,0.992,0
863,0,0,0,0,0.991,0
864,0,0,0,0,0.992,0
865,0,0,0,0,0.994,0
866,0,0,0,0,0.993,0
867,0,0,0,0,0.997,0
868,0,0,0,0,0.997,0
869,0,0,0,0,0.996,0
870,0,0,0,0,0.998,0
871,0,0,0,0,0.999,0
872,0,0,0,0,1,0
873,0,0,0,0,0.999,0
874,0,0,0,0,0.996,0
875,0,0,0,0,0.991,0
876,0,0,0,0,0.99,0
877,0,0,0,0,0.991,0
878,0,0,0,0,0.985,0
879,0,0,0,0,0.978,0
880,0,0,0,0,0.969,0
881,0,0,0,0,0.955,0
882,0,0,0,0,0.937,0
883,0,0,0,0,0.916,0
884,0,0,0,0,0.892,0
885,0,0,0,0,0.868,0
886,0,0,0,0,0.845,0
887,0,0,0,0,0.824,0
888,0,0,0,0,0.811,0
889,0,0,0,0,0.807,0
890,0,0,0,0,0.819,0
891,0,0,0,0,0.841,0
892,0,0,0,0,0.868,0
893,0,0,0,0,0.892,0
894,0,0,0,0,0.892,0
895,0,0,0,0,0.854,0
896,0,0,0,0,0.77,0
897,0,0,0,0,0.644,0
898,0,0,0,0,0.501,0
899,0,0,0,0,0.365,0
900,0,0,0,0,0.256,0
901,0,0,0,0,0.177,0
902,0,0,0,0,0.122,0
903,0,0,0,0,0.085,0
904,0,0,0,0,0.061,0
905,0,0,0,0,0.044,0
906,0,0,0,0,0.032,0
907,0,0,0,0,0.025,0
908,0,0,0,0,0.019,0
909,0,0,0,0,0.014,0
910,0,0,0,0,0.011,0
911,0,0,0,0,0.0107,0
912,0,0,0,0,0.008,0
913,0,0,0,0,0.0061,0
914,0,0,0,0,0.0052,0
915,0,0,0,0,0,0
