Wavelength,B1Blue,B2Green,B3Red,B4NIR
613,5.22004e-05,0.0204411218,0.8779338154,6.3544e-05
614,5.32812e-05,0.0183348394,0.9052753342,5.9168e-05
615,5.4362e-05,0.016228557,0.932616853,5.4792e-05
616,5.4148e-05,0.0140623098,0.940906007,5.59768e-05
617,5.3934e-05,0.0118960626,0.949195161,5.71616e-05
618,5.2229e-05,0.0098743754,0.955202586,5.66456e-05
619,4.9033e-05,0.0079972482,0.958928282,5.44288e-05
620,4.5837e-05,0.006120121,0.962653978,5.2212e-05
621,4.3837e-05,0.004917323,0.9589414908,5.166e-05
622,4.1837e-05,0.003714525,0.9552290036,5.1108e-05
623,3.9027e-05,0.0028021774,0.9515691516,5.37384e-05
624,3.5407e-05,0.0021802802,0.9479619348,5.95512e-05
625,3.1787e-05,0.001558383,0.944354718,6.5364e-05
626,3.22862e-05,0.0012719842,0.9451184296,6.83468e-05
627,3.27854e-05,0.0009855854,0.9458821412,7.13296e-05
628,3.17168e-05,0.0007690576,0.9483860188,7.50422e-05
629,2.90804e-05,0.0006224008,0.9526300624,7.94846e-05
630,2.6444e-05,0.000475744,0.956874106,8.3927e-05
631,2.80884e-05,0.0004034276,0.9621092132,8.01274e-05
632,2.97328e-05,0.0003311112,0.9673443204,7.63278e-05
633,2.85954e-05,0.000274713,0.9728942388,7.34678e-05
634,2.46762e-05,0.000234233,0.9787589684,7.15474e-05
635,2.0757e-05,0.000193753,0.984623698,6.9627e-05
636,2.2203e-05,0.0001757538,0.9890074352,9.7471e-05
637,2.3649e-05,0.0001577546,0.9933911724,0.000125315
638,2.4356e-05,0.000140491,0.9964544248,0.0001454884
639,2.4324e-05,0.000123963,0.9981971924,0.0001579912
640,2.4292e-05,0.000107435,0.99993996,0.000170494
641,2.56108e-05,0.0001013234,0.999963976,0.000192586
642,2.69296e-05,9.52118e-05,0.999987992,0.000214678
643,2.72852e-05,8.56248e-05,0.9994021994,0.0002268538
644,2.66776e-05,7.25624e-05,0.9982065982,0.0002291134
645,2.607e-05,5.95e-05,0.997010997,0.000231373
646,2.4058e-05,5.8026e-05,0.9962384794,0.0002014142
647,2.2046e-05,5.6552e-05,0.9954659618,0.0001714554
648,2.37146e-05,5.98636e-05,0.993857284,0.0001552526
649,2.90638e-05,6.79608e-05,0.991412446,0.0001528058
650,3.4413e-05,7.6058e-05,0.988967608,0.000150359
651,3.59522e-05,8.13932e-05,0.9879481252,0.0001354218
652,3.74914e-05,8.67284e-05,0.9869286424,0.0001204846
653,3.8538e-05,9.14328e-05,0.9854178302,0.0001117452
654,3.9092e-05,9.55064e-05,0.9834156886,0.0001092036
655,3.9646e-05,9.958e-05,0.981413547,0.000106662
656,4.11268e-05,0.0001052492,0.9764594278,0.0001070508
657,4.26076e-05,0.0001109184,0.9715053086,0.0001074396
658,4.0345e-05,0.0001186516,0.966244584,0.0001065104
659,3.4339e-05,0.0001284488,0.960677254,0.0001042632
660,2.8333e-05,0.000138246,0.955109924,0.000102016
661,2.81774e-05,0.0001616684,0.9481872856,9.6054e-05
