Wavelength,Panchromatic,NIR1,Red,Green,Blue,Red Edge,Yellow,Coastal,NIR2,SWIR1,SWIR2,SWIR3,SWIR4,SWIR5,SWIR6,SWIR7,SWIR8
435,0.00017,4.496e-07,3.806e-07,5.054e-08,0.0007573,1.693e-08,4.849e-11,0.895,7.886e-07,0,0,0,0,0,0,0,0
436,0.0002323,4.514e-07,4.148e-07,6.617e-08,0.001057,2.464e-08,4.892e-11,0.9073,1.016e-06,0,0,0,0,0,0,0,0
437,0.00037,5.49e-07,8.713e-07,9.915e-08,0.001534,6.035e-08,4.936e-11,0.9206,7.336e-07,0,0,0,0,0,0,0,0
438,0.0006451,5.208e-07,6.432e-07,1.894e-08,0.002333,5.944e-08,5.004e-11,0.935,2.619e-07,0,0,0,0,0,0,0,0
439,0.001112,5.891e-07,3.633e-07,6.314e-08,0.003519,4.007e-08,2.113e-07,0.9497,2.349e-08,0,0,0,0,0,0,0,0
440,0.001743,7.303e-07,4.483e-07,1.176e-07,0.005096,1.684e-08,9.282e-07,0.9621,3.297e-08,0,0,0,0,0,0,0,0
441,0.002459,6.139e-07,1.062e-06,9.294e-08,0.00727,3.302e-08,1.317e-06,0.9738,2.948e-07,0,0,0,0,0,0,0,0
442,0.003264,6.365e-07,7.008e-07,9.717e-08,0.0106,1.73e-08,7.515e-07,0.9823,3.933e-08,0,0,0,0,0,0,0,0
443,0.004435,1.163e-06,3.493e-07,9.048e-08,0.0178,2.531e-08,1.583e-07,0.9905,1.001e-07,0,0,0,0,0,0,0,0
444,0.01831,1.676e-06,4.16e-07,2.094e-07,0.03397,6.698e-08,1.049e-08,0.9953,7.661e-07,0,0,0,0,0,0,0,0
445,0.04257,1.857e-06,7.538e-07,2.074e-07,0.05124,2.064e-07,1.219e-08,1,3.32e-07,0,0,0,0,0,0,0,0
446,0.06437,1.321e-06,4.393e-07,2.579e-07,0.07669,3.135e-07,1.214e-09,0.9749,1.333e-07,0,0,0,0,0,0,0,0
447,0.08634,6.413e-07,3.325e-07,2.123e-07,0.1036,1.759e-07,5.002e-11,0.9453,1.281e-08,0,0,0,0,0,0,0,0
448,0.1085,3.711e-07,5.784e-07,1.888e-07,0.1692,6.178e-08,5.455e-11,0.8113,5.577e-08,0,0,0,0,0,0,0,0
449,0.1368,3.214e-07,9.651e-07,2.831e-07,0.2399,5.701e-08,6.946e-08,0.6636,2.95e-07,0,0,0,0,0,0,0,0
450,0.1978,4.462e-07,6.132e-07,3.524e-07,0.3639,4.272e-08,3.74e-07,0.4743,4.225e-07,0,0,0,0,0,0,0,0
451,0.2593,5.741e-07,4.68e-07,3.65e-07,0.4951,4.868e-08,7.595e-07,0.2787,1.223e-06,0,0,0,0,0,0,0,0
452,0.3213,5.593e-07,3.765e-07,2.894e-07,0.5781,3.917e-08,4.288e-07,0.1712,8.174e-07,0,0,0,0,0,0,0,0
453,0.3835,5.468e-07,4.39e-07,2.136e-07,0.6557,1.033e-07,6.699e-08,0.07256,1.321e-06,0,0,0,0,0,0,0,0
454,0.4376,5.222e-07,7.449e-07,3.65e-07,0.7024,3.976e-07,3.136e-09,0.04246,1.775e-06,0,0,0,0,0,0,0,0
455,0.4516,4.956e-07,5.318e-07,5.823e-07,0.7466,1.002e-06,5.626e-11,0.01975,1.433e-06,0,0,0,0,0,0,0,0
456,0.4658,4.658e-07,4.813e-07,6.853e-07,0.7654,1.643e-06,2.427e-08,0.01006,6.086e-07,0,0,0,0,0,0,0,0
457,0.4798,4.913e-07,8.491e-07,5.224e-07,0.7812,1.501e-06,4.629e-09,0.004716,1.618e-06,0,0,0,0,0,0,0,0
458,0.4938,5.134e-07,7.796e-07,3.686e-07,0.7898,8.641e-07,3.229e-08,0.0028,1.336e-06,0,0,0,0,0,0,0,0
459,0.5067,5.231e-07,4.018e-07,3.152e-07,0.798,4.119e-07,1.355e-08,0.001648,6.444e-07,0,0,0,0,0,0,0,0
460,0.5137,5.665e-07,2.273e-07,3.798e-07,0.8029,5.62e-07,7.961e-09,0.001079,9.284e-08,0,0,0,0,0,0,0,0
461,0.5205,5.686e-07,5.869e-07,4.125e-07,0.8071,1.554e-06,6.411e-10,0.0006577,1.094e-06,0,0,0,0,0,0,0,0
462,0.5275,5.114e-07,1.191e-06,3.683e-07,0.8133,2.809e-06,5.834e-11,0.0004164,2.384e-06,0,0,0,0,0,0,0,0
463,0.535,4.85e-07,7.463e-07,2.704e-07,0.8205,2.98e-06,5.874e-11,0.0002679,1.586e-06,0,0,0,0,0,0,0,0
464,0.5409,5.394e-07,9.053e-07,2.205e-07,0.8235,2.183e-06,5.918e-11,0.0001805,2.785e-06,0,0,0,0,0,0,0,0
465,0.5401,7.392e-07,8.473e-07,2.168e-07,0.8251,1.235e-06,5.956e-11,9.589e-05,2.968e-06,0,0,0,0,0,0,0,0
466,0.5392,2.78e-06,7.682e-07,2.601e-07,0.8224,5.708e-07,5.984e-11,8.117e-05,2.735e-06,0,0,0,0,0,0,0,0
467,0.5386,9.762e-06,1.06e-06,4.211e-07,0.82,2.627e-07,6.016e-11,6.016e-05,1.691e-06,0,0,0,0,0,0,0,0
468,0.5383,1.538e-05,5.364e-07,5.698e-07,0.8274,2.179e-07,6.035e-11,3.858e-05,1.766e-06,0,0,0,0,0,0,0,0
469,0.5387,1.352e-05,6.116e-07,5.49e-07,0.8355,3.727e-07,3.45e-08,2.49e-05,2.614e-06,0,0,0,0,0,0,0,0
470,0.5417,6.318e-06,5.796e-07,4.566e-07,0.8399,5.971e-07,1.88e-09,1.604e-05,2.885e-06,0,0,0,0,0,0,0,0
471,0.5444,1.912e-06,4.726e-07,3.712e-07,0.8437,5.202e-07,5.563e-11,1.115e-05,1.13e-06,0,0,0,0,0,0,0,0
472,0.5472,7.665e-07,4.32e-07,3.324e-07,0.8497,2.367e-07,5.568e-11,9.242e-06,1.439e-06,0,0,0,0,0,0,0,0
473,0.5504,5.798e-07,8.732e-07,4.485e-07,0.8564,7.958e-08,5.577e-11,7.105e-06,8.075e-07,0,0,0,0,0,0,0,0
474,0.5527,6.846e-07,1.308e-06,5.683e-07,0.8668,2.291e-08,6.083e-11,5.86e-06,5.892e-07,0,0,0,0,0,0,0,0
