Wavelength,Pan,Green,Blue,Red,NIR,RedEdge,BlueCoastal
440,0.378413967,3.32837E-05,0.068015307,9.85771E-07,0.000311846,8.51663E-05,0.910536101
441,0.382537522,3.49837E-05,0.107308461,7.92204E-08,0.000328633,0.000121028,0.919492677
442,0.38401842,3.46261E-05,0.162005954,1.89861E-07,0.000312323,0.000222303,0.923445115
443,0.389274482,3.54243E-05,0.235550585,1.04811E-06,0.000261385,0.000373304,0.918788547
444,0.400034801,3.57329E-05,0.32443587,1.29574E-06,0.000211599,0.000497227,0.902581962
445,0.414674658,3.437E-05,0.416824904,8.49728E-07,0.000178877,0.000494865,0.879666925
446,0.42916082,3.55848E-05,0.499395546,8.71062E-07,0.000158822,0.000377416,0.861979983
447,0.440616098,3.70079E-05,0.565705924,2.91627E-07,0.000157578,0.000266142,0.863940559
448,0.448571122,3.71292E-05,0.614346466,3.99424E-08,0.000195255,0.00026731,0.889279626
449,0.453742346,3.82398E-05,0.643538967,1.25967E-07,0.000286531,0.000341828,0.932373144
450,0.458252021,3.74386E-05,0.654585493,4.88712E-07,0.000391658,0.00036879,0.976575223
451,0.462560925,3.71947E-05,0.653245165,8.52003E-07,0.000451719,0.000295709,1
452,0.466435466,3.86898E-05,0.648269636,4.22538E-06,0.00047628,0.000174738,0.985477753
453,0.469097839,3.99076E-05,0.647747168,9.84812E-06,0.000521018,8.90526E-05,0.916904088
454,0.471092056,4.05693E-05,0.655439067,1.79851E-05,0.000594336,5.86195E-05,0.800176934
455,0.473142092,3.95846E-05,0.671319243,3.25219E-05,0.000686326,5.20701E-05,0.658764789
456,0.476442403,3.81874E-05,0.693723336,4.38362E-05,0.000825253,4.39635E-05,0.520395504
457,0.482326345,3.93991E-05,0.718451227,4.34066E-05,0.000993801,2.9207E-05,0.399977004
458,0.490502839,4.01187E-05,0.739344164,3.42089E-05,0.001033743,1.60769E-05,0.297085006
459,0.499350498,4.08339E-05,0.752522557,2.47285E-05,0.000862864,9.96776E-06,0.209239093
460,0.507298303,4.22335E-05,0.759481234,1.31217E-05,0.000643663,8.84973E-06,0.139306621
461,0.512995522,4.29094E-05,0.76193988,5.16335E-06,0.000521136,9.56575E-06,0.090579707
462,0.516503282,4.49348E-05,0.763293314,3.52484E-06,0.000506216,9.65467E-06,0.061262169
463,0.517821251,4.46609E-05,0.765320682,4.93154E-06,0.000560404,9.66862E-06,0.044693534
464,0.518351528,4.26299E-05,0.77062176,4.02477E-06,0.000625554,1.03508E-05,0.034684769
465,0.519453448,4.34197E-05,0.78068493,2.75739E-06,0.000604319,1.15577E-05,0.027506544
466,0.521972607,4.40955E-05,0.794178246,2.1293E-06,0.000449766,1.19312E-05,0.021433375
467,0.525734445,4.46175E-05,0.806734568,1.43102E-06,0.000257731,1.34714E-05,0.016040962
468,0.530195641,4.37824E-05,0.814988024,9.77009E-07,0.000118632,3.35932E-05,0.011654231
469,0.534446122,4.3012E-05,0.81867403,1.94763E-06,4.45968E-05,0.000146476,0.00827537
470,0.537698316,4.29307E-05,0.82081961,2.54166E-06,1.85399E-05,0.000481297,0.005670336
471,0.539354861,4.54758E-05,0.824948047,4.59224E-06,2.03184E-05,0.001144712,0.003812481
472,0.540071047,4.60622E-05,0.83253264,9.95592E-06,2.89009E-05,0.002000166,0.002780057
473,0.541624329,4.30885E-05,0.841975987,1.83609E-05,3.15054E-05,0.002638958,0.002293854
474,0.545442597,4.50004E-05,0.849426636,3.46366E-05,2.47072E-05,0.002621732,0.001936638
475,0.55214393,4.7396E-05,0.853148158,6.01509E-05,1.51449E-05,0.002102693,0.001716963
476,0.561300051,4.88513E-05,0.854668689,8.74062E-05,8.88866E-06,0.001648735,0.001572741
477,0.571835419,4.73979E-05,0.858941774,9.55345E-05,6.3971E-06,0.001597549,0.001426036
478,0.581389436,4.49518E-05,0.867029083,8.45287E-05,7.30841E-06,0.001662309,0.001219942
479,0.588403902,4.25347E-05,0.877467246,6.45384E-05,9.68922E-06,0.001390195,0.000959453
480,0.59181995,4.16302E-05,0.88617654,4.3887E-05,9.02789E-06,0.0008274,0.000698251
481,0.591307445,4.16361E-05,0.891346064,2.3513E-05,6.52597E-06,0.000338851,0.000492513
482,0.588099496,4.44489E-05,0.895438736,9.88419E-06,5.01815E-06,9.28602E-05,0.000362065
483,0.583899383,4.56005E-05,0.901829739,5.73639E-06,3.52448E-06,2.56431E-05,0.000291929
484,0.580248892,4.47995E-05,0.911317065,6.95497E-06,2.56415E-06,1.5911E-05,0.000260866
485,0.578641853,4.47768E-05,0.921698815,8.71032E-06,3.23436E-06,1.48861E-05,0.000251901
486,0.580100208,4.49689E-05,0.929369163,7.7707E-06,4.32269E-06,1.52123E-05,0.000263484
487,0.585424278,4.68361E-05,0.933151681,5.57951E-06,5.10435E-06,1.7911E-05,0.000284992
488,0.594068428,4.6228E-05,0.933437393,1.29227E-05,5.13829E-06,4.05154E-05,0.000306636
489,0.605093149,4.88831E-05,0.933591699,4.07813E-05,5.11032E-06,0.000121237,0.000312678
490,0.616724571,5.03331E-05,0.937045995,8.32771E-05,4.29437E-06,0.000276207,0.000296036
491,0.626881241,5.12462E-05,0.944674688,0.000115191,3.04969E-06,0.000450443,0.000263337
492,0.634804737,5.42805E-05,0.95503281,0.000105587,2.67604E-06,0.00054673,0.000223221
493,0.639900407,5.39536E-05,0.962486875,7.32391E-05,2.56036E-06,0.000528226,0.000189779
494,0.643273195,5.35843E-05,0.964302159,5.39582E-05,3.01065E-06,0.000496678,0.000161586
495,0.645821431,5.39437E-05,0.960903576,3.89081E-05,4.00763E-06,0.000545475,0.000146336
496,0.648555969,5.3356E-05,0.958462662,1.73258E-05,4.86708E-06,0.000602049,0.000141832
497,0.652072499,5.20315E-05,0.962298612,4.10841E-06,5.26359E-06,0.000563671,0.000144341
498,0.656472974,5.42496E-05,0.971758674,9.67077E-07,5.20874E-06,0.000441798,0.000155052
499,0.661177984,5.38101E-05,0.980704887,2.98223E-07,4.70418E-06,0.000321415,0.000173196
500,0.665908512,5.27393E-05,0.984197469,1.60564E-07,3.87138E-06,0.000253235,0.00019612
